school_name,address,postal_code,dgp_code,zone_code,lon,lat,SUBZONE_NO,SUBZONE_N,PLN_AREA_N,REGION_N
TEMASEK PRIMARY SCHOOL,501 BEDOK SOUTH AVE 3 Singapore,469300,BEDOK,EAST,103.945488,1.317502,6,BEDOK SOUTH,BEDOK,EAST REGION
SI LING PRIMARY SCHOOL,61 WOODLANDS AVENUE 1 Singapore,739067,WOODLANDS,NORTH,103.78577,1.432693,5,WOODGROVE,WOODLANDS,NORTH REGION
JING SHAN PRIMARY SCHOOL,5 ANG MO KIO ST 52 Singapore,569228,ANG MO KIO,SOUTH,103.851863,1.3714789,2,CHENG SAN,ANG MO KIO,NORTH-EAST REGION
YISHUN PRIMARY SCHOOL,500 YISHUN RING ROAD Singapore,768679,YISHUN,NORTH,103.834125,1.4334484,9,YISHUN WEST,YISHUN,NORTH REGION
STAMFORD PRIMARY SCHOOL,1 VICTORIA LANE Singapore,198423,CENTRAL,SOUTH,103.8572692,1.304116,4,ROCHOR CANAL,ROCHOR,CENTRAL REGION
FERNVALE PRIMARY SCHOOL,1 FERNVALE LANE Singapore,797701,SENG KANG,NORTH,103.873919,1.389948,6,FERNVALE,SENGKANG,NORTH-EAST REGION
TOWNSVILLE PRIMARY SCHOOL,3 ANG MO KIO AVE 10 Singapore,569730,ANG MO KIO,SOUTH,103.8537829,1.3600534,3,CHONG BOON,ANG MO KIO,NORTH-EAST REGION
RULANG PRIMARY SCHOOL,6 JURONG WEST STREET 52 Singapore,649295,JURONG WEST,WEST,103.718911,1.346187,3,HONG KAH,JURONG WEST,WEST REGION
QIFA PRIMARY SCHOOL,50 WEST COAST AVENUE Singapore,128104,CLEMENTI,WEST,103.7568857,1.3126176,5,WEST COAST,CLEMENTI,WEST REGION
ZHANGDE PRIMARY SCHOOL,51 JALAN MEMBINA Singapore,169485,BUKIT MERAH,SOUTH,103.8260335,1.2843455,4,TIONG BAHRU STATION,BUKIT MERAH,CENTRAL REGION
TAMPINES PRIMARY SCHOOL,250 TAMPINES STREET 12 Singapore,529426,TAMPINES,EAST,103.94402,1.349774,2,TAMPINES EAST,TAMPINES,EAST REGION
CHONGZHENG PRIMARY SCHOOL,1 TAMPINES STREET 21 Singapore,529392,TAMPINES,EAST,103.951438,1.350835,2,TAMPINES EAST,TAMPINES,EAST REGION
XINGHUA PRIMARY SCHOOL,45 HOUGANG AVENUE 1 Singapore,538882,HOUGANG,SOUTH,103.8901506,1.3578717,7,LORONG AH SOO,HOUGANG,NORTH-EAST REGION
JIEMIN PRIMARY SCHOOL,2 YISHUN STREET 71 Singapore,768515,YISHUN,NORTH,103.830502,1.4276007,9,YISHUN WEST,YISHUN,NORTH REGION
